Apple,124.88,711590.0
Google,535.97,366490.0
Facebook,76.51,210760.0
Twitter,47.5,29350.0
Cisco Systems,26.93,139900.0
Microsoft,42.38,350390.0
Oracle,43.36,193150.0
Yahoo!,42.96,40770.0
Adobe Systems,73.01,36310.0
Alibaba Group Holding,86.0,217000.0
Amazon.com,375.14,173190.0
AMD,3.07,2360.0
Baidu,214.67,77050.0
BlackBerry,9.87,5240.0
Activision Blizzard,22.66,16020.0
Electronic Arts,54.94,17010.0
eBay,55.14,66870.0
GoPro,44.77,5570.0
Hewlett-Packard,38.18,69130.0
International Business Machines,158.2,157330.0
Intel,33.55,162770.0
King Digital Enter.,14.14,4340.0
Netflix,454.89,27460.0
Nokia,7.84,28770.0
QUALCOMM,70.21,115830.0
Weibo,13.05,2560.0
Zynga,2.81,2530.0
Nuance Communications,13.87,4580.0
Tesla Motors,212.8,27150.0
Koninklijke Philips,28.18,26190.0
Samsung Electronics,1223.97915171,205438.803301
LG Electronics,54.1983388209,9213.71759956
Daum Kakao,133.327913499,7380.00713611
Naver,607.924700441,19294.6086202
HTC,4.7013011682,3872.47918447
Hon Hai Precision Industry,2.6846487479,39889.8280938
Hitachi,6.58871682244,31862.1028156
NEXON,10.0078615371,4315.94228218
Panasonic,10.9687160737,26870.6506774
Rakuten,14.0426186822,18634.7546493
Sony,25.568713578,29615.9493534
Lenovo Group,1.54494925396,17162.090711
Tencent Holdings,16.9712288666,158621.667978
