Apple,115.96,656670.0
Google,657.12,460290.0
Facebook,94.42,263240.0
Twitter,29.07,19300.0
Cisco Systems,29.03,145970.0
Microsoft,47.0,373750.0
Oracle,39.41,170450.0
Yahoo!,36.24,33820.0
Adobe Systems,86.12,41960.0
Alibaba Group Holding,74.73,188710.0
Amazon.com,531.52,247730.0
AMD,1.84,1390.0
Baidu,164.24,56550.0
BlackBerry,7.66,4040.0
Activision Blizzard,28.68,21030.0
Electronic Arts,72.82,22880.0
eBay,28.26,34100.0
GoPro,58.85,7910.0
Hewlett-Packard,28.71,51390.0
International Business Machines,155.75,151900.0
Intel,29.02,137250.0
King Digital Enter.,13.52,4800.0
Netflix,123.39,52710.0
Nokia,6.6,24720.0
QUALCOMM,61.91,97460.0
Weibo,13.6,2740.0
Zynga,2.7,2500.0
Nuance Communications,18.38,5620.0
Tesla Motors,243.15,30830.0
Koninklijke Philips,27.34,26090.0
Paypal Holdings,38.14,45850.0
Samsung Electronics,966.802216861,161549.258149
LG Electronics,34.6861497102,5919.54339797
Daum Kakao,118.814904019,6860.90345123
Naver,440.149430308,14756.4548889
HTC,1.61801242236,1453.10559006
Hon Hai Precision Industry,2.75465838509,40993.7888199
Hitachi,6.11786490621,29868.7706304
NEXON,15.6992190645,6572.57869737
Panasonic,11.255132437,27614.5237904
Rakuten,14.825698414,21173.8185331
Sony,27.1032928106,33813.7026004
Lenovo Group,0.934760185663,11422.1248066
Tencent Holdings,18.4760185663,162454.873646
